Name of load case;Avarage speed;FR FMB;FA FMB;FR RMB;FA RMB
dlc12_v03_g1_0_s1;5.664079890513946;2752863.9730090825;0;1453931.339486124;196989.4547559009
dlc12_v03_g1_0_s2;6.563250797946815;2804817.9926715046;0;1523294.3089020138;195102.51421199433
