Time [s]	Rotating hub Mx  [kNm]	Rotating hub My  [kNm]	Rotating hub Mz  [kNm]	Rotating hub Fx  [kN]	Rotating hub Fy  [kN]	Rotating hub Fz  [kN]	Stationary hub Mx  [kNm]	Stationary hub My  [kNm]	Stationary hub Mz  [kNm]	Stationary hub Fx  [kN]	Stationary hub Fy  [kN]	Stationary hub Fz  [kN]	Rotor speed  [rad/s]	
0	668.212	-428.379	-1089.31	239.411	747.183	-300.456	668.212	-1170.46	-10.3948	239.411	0.991344	-805.329	0.570911
0.05	672.635	-406.1	-1087.93	237.875	737.405	-324.762	672.635	-1159.51	-63.6589	237.875	-2.21175	-805.749	0.570894
0.1	674.587	-383.522	-1054.09	235.791	731.213	-349.287	674.587	-1116.98	-102.723	235.791	-4.03209	-810.344	0.571212
0.15	676.453	-346.582	-984.728	236.385	722.887	-371.082	676.453	-1035.02	-136.166	236.385	-4.089	-812.558	0.571359
0.2	673.03	-302.445	-936.094	238.546	707.777	-390.579	673.03	-966.903	-181.23	238.546	-5.22606	-808.376	0.57125
0.25	668.507	-267.625	-887.824	240.257	694.701	-409.034	668.507	-902.101	-214.635	240.257	-4.65628	-806.161	0.571695
0.3	668.184	-238.048	-865.578	238.569	682.134	-429.765	668.184	-861.104	-253.755	238.569	-5.84734	-806.207	0.571979
0.35	668.115	-204.406	-851.312	236.133	667.567	-451.104	668.115	-823.054	-298.491	236.133	-8.62297	-805.646	0.57212
0.4	669.791	-165.297	-849.898	234.91	651.818	-470.74	669.791	-790.546	-353.111	234.91	-10.6908	-803.958	0.572347
0.45	667.976	-110.44	-862.61	233.486	638.261	-489.242	667.976	-757.517	-427.154	233.486	-10.6259	-804.128	0.571901
0.5	657.438	-56.2628	-862.577	231.149	627.621	-503.336	657.438	-711.357	-491.096	231.149	-5.29353	-804.504	0.571639
0.55	648.251	2.77104	-848.032	231.247	617.995	-518.104	648.251	-647.947	-547.11	231.247	0.203719	-806.442	0.571867
0.6	643.625	27.9091	-813.756	231.371	605.83	-533.077	643.625	-589.721	-561.433	231.371	3.98734	-806.96	0.571978
0.65	647.535	12.2301	-791.477	231.183	588.779	-552.699	647.535	-567.942	-551.387	231.183	1.09713	-807.549	0.572619
0.7	663.21	-32.4669	-776.929	230.5	567.934	-574.684	663.21	-573.169	-525.501	230.5	-6.06172	-807.944	0.572979
0.75	677.739	-95.0879	-745.3	230.208	548.265	-593.812	677.739	-581.592	-475.673	230.208	-10.3537	-808.146	0.572794
0.8	688.507	-150.233	-701.288	230.382	531.706	-609.692	688.507	-579.493	-422.567	230.382	-10.133	-808.908	0.573004
0.85	696.281	-183.242	-641.414	229.416	515.699	-622.763	696.281	-553.753	-371.95	229.416	-7.61784	-808.53	0.573076
0.9	696.638	-195.223	-577.705	228.904	497.786	-635.09	696.638	-512.561	-330.358	228.904	-6.14234	-806.903	0.573132
0.95	693.535	-193.901	-497.859	226.91	479.176	-646.502	693.535	-453.902	-281.841	226.91	-4.74772	-804.706	0.57345
1	685.358	-168.056	-412.666	225.227	461.315	-661.093	685.358	-375.37	-240.07	225.227	-4.68475	-806.123	0.573261
1.05	669.211	-154.621	-300.931	224.486	446.044	-670.165	669.211	-295.315	-165.093	224.486	0.676438	-805.031	0.57316
1.1	653.939	-139.59	-216.754	223.874	425.75	-677.453	653.939	-233.157	-110.024	223.874	2.6725	-800.125	0.573372
1.15	642.182	-102.736	-158.293	223.392	402.739	-688.982	642.182	-168.586	-84.7963	223.392	-0.078406	-798.057	0.573354
1.2	637.021	-83.3005	-116.112	220.956	381.543	-701.295	637.021	-128.795	-61.9104	220.956	-1.70222	-798.365	0.573623
1.25	641.041	-90.5656	-86.8934	217.868	362.791	-712.07	641.041	-120.161	-36.2496	217.868	-0.402438	-799.163	0.573749
1.3	648.077	-79.8758	-72.0036	214.45	341.866	-722.994	648.077	-103.031	-30.811	214.45	-1.07222	-799.745	0.573473
1.35	654.335	-47.0804	-61.2625	213.28	319.487	-733.514	654.335	-67.7608	-37.1233	213.28	-2.86628	-800.066	0.573419
1.4	661.556	-5.28734	-36.4962	215.353	299.195	-741.31	661.556	-18.6288	-31.8261	215.353	-1.66359	-799.41	0.573354
1.45	666.324	32.3752	-37.2014	217.462	277.859	-750.157	666.324	17.3322	-46.1703	217.462	-1.83353	-799.961	0.573285
1.5	668.672	46.1965	-39.0482	220.615	258.929	-757.403	668.672	31.1356	-51.8599	220.615	0.837688	-800.439	0.573235
1.55	667.814	1.96663	-66.9053	223.617	237.578	-760.083	667.814	-17.8738	-64.5036	223.617	2.58545	-796.344	0.573125
1.6	659.936	-64.529	-86.7756	227.537	216.773	-765.86	659.936	-85.4071	-66.3296	227.537	3.79872	-795.938	0.572681
1.65	649.506	-117.729	-95.0208	233.129	193.974	-776.343	649.506	-137.097	-63.981	233.129	1.9375	-800.207	0.572805
1.7	643.075	-181.68	-95.5545	236.366	168.489	-784.022	643.075	-197.816	-54.8352	236.366	-1.67992	-801.92	0.572919
1.75	642.168	-212.893	-60.866	234.116	145.701	-790.939	642.168	-220.459	-20.6378	234.116	-2.37995	-804.243	0.573011
1.8	645.042	-207.15	-22.5477	229.402	122.683	-798.968	645.042	-208.133	10.0107	229.402	-3.32987	-808.326	0.572906
1.85	647.635	-217.682	23.918	227.819	101.023	-802.657	647.635	-212.856	51.4762	227.819	-2.13613	-808.987	0.572548
1.9	647.986	-253.641	70.1874	228.851	79.3016	-805.704	647.986	-245.44	94.9675	228.851	-0.900453	-809.596	0.572442
1.95	651.937	-271.552	130.121	229.862	58.1484	-811.101	651.937	-261.698	148.952	229.862	0.79107	-813.182	0.572561
2	658.427	-295.248	195.901	231.42	35.7395	-810.594	658.427	-286.769	208.115	231.42	1.70138	-811.38	0.572696
2.05	667.246	-334.736	254.92	233.888	10.6543	-805.281	667.246	-331.31	259.359	233.888	-0.078029	-805.352	0.572697
2.1	671.114	-385.954	314.883	235.707	-13.7391	-804.407	671.114	-390.727	308.941	235.707	-1.42943	-804.524	0.572437
2.15	667.396	-446.381	370.089	238.342	-37.3863	-806.43	667.396	-462.197	350.137	238.342	-1.94927	-807.294	0.57204
2.2	657.349	-507.491	438.827	239.572	-58.2503	-804.106	657.349	-537.948	400.909	239.572	0.155949	-806.213	0.571873
2.25	645.323	-523.89	511.818	238.009	-78.8977	-802.488	645.323	-572.87	456.331	238.009	2.49559	-806.353	0.571622
2.3	632.617	-483.17	577.711	235.084	-102.012	-802.173	632.617	-553.817	510.382	235.084	2.57364	-808.63	0.571443
2.35	622.725	-433.16	634.299	235.191	-126.227	-797.682	622.725	-527.702	558.116	235.191	1.05018	-807.607	0.571198
2.4	615.383	-355.916	679.021	239.073	-149.331	-793.788	615.383	-475.826	601.112	239.073	0.681875	-807.712	0.571027
2.45	617.761	-329.539	709.94	242.279	-171.986	-786.72	617.761	-473.635	623.122	242.279	0.101875	-805.299	0.571291
2.5	631.721	-351.403	740.146	241.749	-192.819	-778.785	631.721	-519.754	633.369	241.749	0.972625	-802.3	0.571544
2.55	654.422	-379.332	784.457	242.335	-212.661	-773.072	654.422	-576.467	653.416	242.335	3.25378	-801.782	0.571769
2.6	679.967	-400.557	824.514	245.023	-234.863	-764.409	679.967	-627.061	668.629	245.023	2.40142	-799.673	0.571934
2.65	701.005	-410.583	858.863	248.204	-260.273	-753.84	701.005	-666.527	679.681	248.204	-2.19945	-797.504	0.571829
2.7	711.753	-414.126	888.49	247.641	-286.603	-746.032	711.753	-699.393	686.851	247.641	-6.79594	-799.162	0.571893
2.75	710.249	-385.777	917.235	245.097	-307.439	-741.613	710.249	-703.332	703.895	245.097	-4.91222	-802.798	0.571633
2.8	694.804	-352.434	911.481	242.619	-326.593	-732.509	694.804	-690.33	691.703	242.619	-3.16919	-802.011	0.571614
2.85	672.547	-326.898	889.788	239.814	-345.795	-722.831	672.547	-677.436	663.073	239.814	-1.74547	-801.284	0.571556
2.9	645.887	-336.75	882.11	239.83	-367.509	-716.719	645.887	-701.382	632.125	239.83	-0.966125	-805.449	0.571491
2.95	623.345	-387	888.25	241.606	-391.614	-708.037	623.345	-766.179	593.066	241.606	-3.26191	-809.115	0.5717
3	611.869	-469.848	939.313	241.941	-411.035	-694.341	611.869	-880.115	573.118	241.941	-3.81041	-806.873	0.571942
3.05	612.019	-502.41	986.012	239.428	-431.159	-684.353	612.019	-948.499	570.074	239.428	-3.09853	-808.843	0.571901
3.1	622.653	-520.841	1000.73	238.143	-454.171	-672.013	622.653	-987.907	544.762	238.143	-5.96369	-811.071	0.572018
3.15	638.862	-496.455	1005.65	240.756	-471.924	-658.662	638.862	-986.011	534.397	240.756	-4.97709	-810.262	0.571668
3.2	656.548	-454.084	989.625	239.964	-486.878	-644.097	656.548	-957.379	518.628	239.964	-2.52034	-807.406	0.571827
3.25	675.485	-438.315	954.945	237.346	-504.337	-629.097	675.485	-937.872	473.748	237.346	-2.43794	-806.296	0.571814
3.3	687.379	-443.907	933.234	238.565	-523.056	-616.656	687.379	-941.292	426.554	238.565	-1.72125	-808.609	0.571609
3.35	691.53	-494.731	906.524	240.186	-543.327	-600.008	691.53	-973.163	345.685	240.186	-4.81931	-809.439	0.57172
3.4	689.171	-541.772	874.856	242.591	-561.932	-584.327	689.171	-995.009	262.386	242.591	-5.97241	-810.66	0.571635
3.45	680.036	-619.482	840.166	241.923	-580.461	-567.293	680.036	-1032.39	154.311	241.923	-7.94678	-811.599	0.571809
3.5	672.466	-676.225	809.126	239.448	-594.956	-553.862	672.466	-1052.67	62.1284	239.448	-4.44638	-812.844	0.572297
3.55	668.453	-681.513	749.223	238.874	-608.562	-542.001	668.453	-1012.75	-11.7653	238.874	0.912438	-814.931	0.572573
3.6	668.629	-669.279	701.085	237.782	-617.418	-522.85	668.629	-967.249	-62.3178	237.782	3.88284	-809.05	0.573004
3.65	674.543	-612.36	648.292	239.158	-628.394	-503.476	674.543	-888.349	-78.1165	239.158	5.06063	-805.196	0.573299
3.7	680.33	-566.811	580.402	239.374	-645.824	-480.146	680.33	-804.092	-107.598	239.374	-0.986656	-804.754	0.573241
3.75	683.981	-532.798	510.234	237.441	-660.205	-455.579	683.981	-723.703	-143.062	237.441	-6.29059	-802.112	0.573499
3.8	688.049	-510.131	434.62	238.675	-672.253	-434.304	688.049	-643.704	-186.475	238.675	-7.67903	-800.303	0.573572
3.85	684.77	-517.01	366.975	239.53	-683.511	-414.068	684.77	-584.207	-246.317	239.53	-7.86494	-799.111	0.573383
3.9	678.511	-533.773	320.128	241.283	-696.633	-396.208	678.511	-544.8	-300.978	241.283	-6.98459	-801.392	0.573638
3.95	673.144	-566.029	311.94	240.487	-708.901	-374.959	673.144	-544.129	-348.738	240.487	-8.52184	-801.912	0.5738
4	667.683	-600.53	297.96	236.283	-721.739	-351.205	667.683	-537.005	-401.301	236.283	-12.5035	-802.556	0.574036
4.05	668.636	-606.558	278.943	234.49	-732.991	-332.088	668.636	-510.619	-430.105	234.49	-11.5423	-804.628	0.574555
4.1	671.476	-601.864	251.217	234.415	-737.57	-314.264	671.476	-470.762	-451.367	234.415	-6.59616	-801.703	0.574438
4.15	672.777	-597.169	230.481	235.478	-741.527	-296.675	672.777	-436.614	-468.082	235.478	-1.36316	-798.672	0.574634
4.2	676.338	-632.83	236.264	236.131	-752.134	-274.091	676.338	-440.756	-511.887	236.131	-3.27352	-800.513	0.574773
4.25	676.739	-656.64	289.008	235.763	-764.733	-252.71	676.739	-483.451	-530.072	235.763	-4.55641	-805.394	0.574686
4.3	678.244	-652.951	351.569	236.596	-774.751	-231.274	678.244	-526.78	-521.967	236.596	-4.83252	-808.519	0.575204
4.35	682.313	-615.62	364.537	236.334	-781.892	-208.027	682.313	-514.196	-497.471	236.334	-5.88445	-809.071	0.575268
4.4	682.618	-538.893	337.153	236.818	-788.079	-185.86	682.618	-454.939	-443.969	236.818	-5.61499	-809.679	0.575358
4.45	684.679	-461.173	306.236	237.582	-792.91	-161.615	684.679	-395.552	-387.298	237.582	-7.03306	-809.182	0.575834
4.5	688.585	-364.545	298.76	236.332	-794.808	-139.486	688.585	-359.491	-304.822	236.332	-5.83981	-806.934	0.576108
4.55	694.979	-261.348	294.462	233.507	-796.362	-118.048	694.979	-330.67	-213.701	233.507	-4.01068	-805.054	0.576754
4.6	704.636	-173.982	288.846	231.724	-796.915	-94.6239	704.636	-308.05	-137.138	231.724	-4.10116	-802.502	0.577039
4.65	705.613	-102.788	264.928	232.46	-800.132	-70.7034	705.613	-273.441	-77.3437	232.46	-5.07306	-803.234	0.576684
