PROJECT:;PRJ-6076
LOAD CASE NAME:;DLC24_OVS_V11.0_N_S2
LOAD CASE TYPE:;FATIGUE
LOAD CASE SUBTYPE:;F_Power_production_plus_occurrence_of_fault
REPETITIONS:;32.65
LOAD FACTOR:;1
APPLIED LOAD FACTOR:;YES
DAF:;1
APPLIED DAF:;YES
PROCESS:;WRITE
PROCESS VERSION:;v2.0


;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;HUB_CENTER;HUB_CENTER
;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Unknown;Unknown
;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0
Time;FB_STA_FX;FB_STA_FY;FB_STA_FYZ;FB_STA_FZ;FB_STA_MX;FB_STA_MY;FB_STA_MYZ;FB_STA_MZ;ROTOR_AZIMUTH;ROTOR_SPEED
[s];[N];[N];[N];[N];[Nm];[Nm];[Nm];[Nm];[rad];[rad/s]
0;1.048643E+06;-1.849950E+04;1.199891E+06;-1.199749E+06;7.550805E+06;-4.650160E+06;4.671865E+06;4.498145E+05;4.194335E+00;9.591706E-01
0.04;1.070243E+06;-1.074588E+04;1.211132E+06;-1.211084E+06;7.613136E+06;-4.691818E+06;4.691856E+06;1.889004E+04;4.232723E+00;9.598691E-01
0.08;1.084525E+06;-7.788093E+03;1.211222E+06;-1.211197E+06;7.659958E+06;-4.551788E+06;4.591777E+06;-6.046864E+05;4.271097E+00;9.585459E-01
0.12;1.085737E+06;-1.699670E+04;1.201588E+06;-1.201467E+06;7.657348E+06;-4.399227E+06;4.570841E+06;-1.240722E+06;4.309398E+00;9.566762E-01
0.16;1.085860E+06;-3.100921E+04;1.194375E+06;-1.193973E+06;7.633220E+06;-4.275855E+06;4.574133E+06;-1.624733E+06;4.347652E+00;9.563442E-01
0.2;1.087084E+06;-3.967680E+04;1.189577E+06;-1.188915E+06;7.589455E+06;-4.156793E+06;4.532618E+06;-1.807124E+06;4.385922E+00;9.572189E-01
