#ux [mm]; Fy [N]; Fx [N]
-0.1; 705000; 277833
-0.08; 705000; 287721
-0.06; 705000; 304069
-0.04; 705000; 335603
-0.02; 705000; 409754
0; 705000; 534586
0.02; 705000; 683940
0.04; 705000; 849721
0.06; 705000; 1.02775e+06
0.08; 705000; 1.21508e+06
0.1; 705000; 1.40973e+06
0.12; 705000; 1.61065e+06
0.14; 705000; 1.81738e+06
0.16; 705000; 2.02884e+06
0.18; 705000; 2.24493e+06
0.2; 705000; 2.46539e+06
0.22; 705000; 2.68971e+06
0.24; 705000; 2.91849e+06
0.26; 705000; 3.15076e+06
0.28; 705000; 3.38606e+06
0.3; 705000; 3.62506e+06
-0.2; 770000; 281827
-0.18; 770000; 284437
-0.16; 770000; 287524
-0.14; 770000; 291511
-0.12; 770000; 296643
-0.1; 770000; 303585
-0.08; 770000; 313663
-0.06; 770000; 329713
-0.04; 770000; 358847
-0.02; 770000; 422672
0; 770000; 541862
0.02; 770000; 688701
0.04; 770000; 853088
0.06; 770000; 1.03025e+06
0.08; 770000; 1.21688e+06
0.1; 770000; 1.41132e+06
0.12; 770000; 1.61193e+06
0.14; 770000; 1.81837e+06
0.16; 770000; 2.02989e+06
0.18; 770000; 2.24582e+06
0.2; 770000; 2.46617e+06
0.22; 770000; 2.69056e+06
0.24; 770000; 2.91919e+06
0.26; 770000; 3.1514e+06
0.28; 770000; 3.38658e+06
0.3; 770000; 3.62558e+06
-0.2; 835000; 306429
-0.18; 835000; 309224
-0.16; 835000; 312555
-0.14; 835000; 316749
-0.12; 835000; 322150
-0.1; 835000; 329384
-0.08; 835000; 339624
-0.06; 835000; 355442
-0.04; 835000; 382804
-0.02; 835000; 438327
0; 835000; 550062
0.02; 835000; 693976
0.04; 835000; 856775
0.06; 835000; 1.03299e+06
0.08; 835000; 1.21889e+06
0.1; 835000; 1.41304e+06
0.12; 835000; 1.61336e+06
0.14; 835000; 1.81949e+06
0.16; 835000; 2.03101e+06
0.18; 835000; 2.24682e+06
0.2; 835000; 2.46703e+06
0.22; 835000; 2.69148e+06
0.24; 835000; 2.91993e+06
0.26; 835000; 3.15209e+06
0.28; 835000; 3.38719e+06
0.3; 835000; 3.62614e+06
-0.2; 900000; 331093
-0.18; 900000; 334038
-0.16; 900000; 337625
-0.14; 900000; 342025
-0.12; 900000; 347722
-0.1; 900000; 355192
-0.08; 900000; 365600
-0.06; 900000; 381214
-0.04; 900000; 407275
-0.02; 900000; 456954
0; 900000; 559311
0.02; 900000; 699855
0.04; 900000; 860861
0.06; 900000; 1.03593e+06
0.08; 900000; 1.22114e+06
0.1; 900000; 1.41487e+06
0.12; 900000; 1.61493e+06
0.14; 900000; 1.82076e+06
0.16; 900000; 2.0322e+06
0.18; 900000; 2.2479e+06
0.2; 900000; 2.46797e+06
0.22; 900000; 2.69245e+06
0.24; 900000; 2.92075e+06
0.26; 900000; 3.15281e+06
0.28; 900000; 3.38787e+06
0.3; 900000; 3.62675e+06
